USN,SCODE,CIE,SEE,TOT,RESULT,GRADE,DATE,ExamType
4JN18CS001,18MAT11,32,41,73,P,8,12019,Regular
4JN18CS001,18PHY12,29,47,76,P,8,12019,Regular
4JN18CS001,18ELE13,25,43,68,P,7,12019,Regular
4JN18CS001,18CIV14,31,26,57,P,6,12019,Regular
4JN18CS001,18EGDL15,31,56,87,P,9,12019,Regular
4JN18CS001,18PHYL16,32,40,72,P,8,12019,Regular
4JN18CS001,18ELEL17,34,52,86,P,9,12019,Regular
4JN18CS001,18EGH18,27,32,59,P,6,12019,Regular
4JN18CS002,18MAT11,33,51,84,P,9,12019,Regular
4JN18CS002,18PHY12,36,45,81,P,9,12019,Regular
4JN18CS002,18ELE13,37,31,68,P,7,12019,Regular
4JN18CS002,18CIV14,34,29,63,P,7,12019,Regular
4JN18CS002,18EGDL15,34,55,89,P,9,12019,Regular
4JN18CS002,18PHYL16,31,44,75,P,8,12019,Regular
4JN18CS002,18ELEL17,31,53,84,P,9,12019,Regular
4JN18CS002,18EGH18,34,38,72,P,8,12019,Regular
4JN18CS003,18MAT11,37,44,81,P,9,12019,Regular
4JN18CS003,18PHY12,33,40,73,P,8,12019,Regular
4JN18CS003,18ELE13,39,42,81,P,9,12019,Regular
4JN18CS003,18CIV14,39,33,72,P,8,12019,Regular
4JN18CS003,18EGDL15,36,21,57,P,6,12019,Regular
4JN18CS003,18PHYL16,32,25,57,P,6,12019,Regular
4JN18CS003,18ELEL17,32,51,83,P,9,12019,Regular
4JN18CS003,18EGH18,34,41,75,P,8,12019,Regular
4JN18CS004,18MAT11,25,21,46,P,5,12019,Regular
4JN18CS004,18PHY12,20,21,41,P,4,12019,Regular
4JN18CS004,18ELE13,30,21,51,P,6,12019,Regular
4JN18CS004,18CIV14,25,21,46,P,5,12019,Regular
4JN18CS004,18EGDL15,36,38,74,P,8,12019,Regular
4JN18CS004,18PHYL16,24,32,56,P,6,12019,Regular
4JN18CS004,18ELEL17,33,50,83,P,9,12019,Regular
4JN18CS004,18EGH18,32,25,57,P,6,12019,Regular
4JN18CS005,18MAT11,24,29,53,P,6,12019,Regular
4JN18CS005,18PHY12,22,21,43,P,4,12019,Regular
4JN18CS005,18ELE13,27,21,48,P,5,12019,Regular
4JN18CS005,18CIV14,24,18,42,F,0,12019,Regular
4JN18CS005,18EGDL15,36,42,78,P,8,12019,Regular
4JN18CS005,18PHYL16,30,39,69,P,7,12019,Regular
4JN18CS005,18ELEL17,32,51,83,P,9,12019,Regular
4JN18CS005,18EGH18,32,34,66,P,7,12019,Regular
4JN18CS006,18MAT11,36,32,68,P,7,12019,Regular
4JN18CS006,18PHY12,29,38,67,P,7,12019,Regular
4JN18CS006,18ELE13,37,30,67,P,7,12019,Regular
4JN18CS006,18CIV14,38,25,63,P,7,12019,Regular
4JN18CS006,18EGDL15,36,54,90,P,10,12019,Regular
4JN18CS006,18PHYL16,32,42,74,P,8,12019,Regular
4JN18CS006,18ELEL17,33,51,84,P,9,12019,Regular
4JN18CS006,18EGH18,34,35,69,P,7,12019,Regular
4JN18CS007,18MAT11,22,26,48,P,5,12019,Regular
4JN18CS007,18PHY12,26,27,53,P,6,12019,Regular
4JN18CS007,18ELE13,30,21,51,P,6,12019,Regular
4JN18CS007,18CIV14,27,21,48,P,5,12019,Regular
4JN18CS007,18EGDL15,36,24,60,P,7,12019,Regular
4JN18CS007,18PHYL16,30,33,63,P,7,12019,Regular
4JN18CS007,18ELEL17,33,52,85,P,9,12019,Regular
4JN18CS007,18EGH18,30,39,69,P,7,12019,Regular
4JN18CS008,18MAT11,38,50,88,P,9,12019,Regular
4JN18CS008,18PHY12,35,49,84,P,9,12019,Regular
4JN18CS008,18ELE13,39,48,87,P,9,12019,Regular
4JN18CS008,18CIV14,33,23,56,P,6,12019,Regular
4JN18CS008,18EGDL15,37,14,51,F,0,12019,Regular
4JN18CS008,18PHYL16,33,25,58,P,6,12019,Regular
4JN18CS008,18ELEL17,33,53,86,P,9,12019,Regular
4JN18CS008,18EGH18,29,27,56,P,6,12019,Regular
4JN18CS009,18MAT11,31,49,80,P,9,12019,Regular
4JN18CS009,18PHY12,31,38,69,P,7,12019,Regular
4JN18CS009,18ELE13,36,29,65,P,7,12019,Regular
4JN18CS009,18CIV14,32,30,62,P,7,12019,Regular
4JN18CS009,18EGDL15,39,43,82,P,9,12019,Regular
4JN18CS009,18PHYL16,34,54,88,P,9,12019,Regular
4JN18CS009,18ELEL17,31,51,82,P,9,12019,Regular
4JN18CS009,18EGH18,32,29,61,P,7,12019,Regular
4JN18CS010,18MAT11,34,37,71,P,8,12019,Regular
4JN18CS010,18PHY12,32,33,65,P,7,12019,Regular
4JN18CS010,18ELE13,35,41,76,P,8,12019,Regular
4JN18CS010,18CIV14,35,31,66,P,7,12019,Regular
4JN18CS010,18EGDL15,37,15,52,F,0,12019,Regular
4JN18CS010,18PHYL16,35,48,83,P,9,12019,Regular
4JN18CS010,18ELEL17,31,51,82,P,9,12019,Regular
4JN18CS010,18EGH18,34,50,84,P,9,12019,Regular
4JN18CS011,18MAT11,37,56,93,P,10,12019,Regular
4JN18CS011,18PHY12,32,44,76,P,8,12019,Regular
4JN18CS011,18ELE13,38,45,83,P,9,12019,Regular
4JN18CS011,18CIV14,36,26,62,P,7,12019,Regular
4JN18CS011,18EGDL15,37,26,63,P,7,12019,Regular
4JN18CS011,18PHYL16,32,47,79,P,8,12019,Regular
